cell_id,age_group,gender,municipality,education_level,past_vote,expected_N_raked,age,biography
9700,61-70,Men,Helsingborg,Upper secondary school,Sweden Democrats (SD),1380.4962915529516,63,"I’m a 63‑year‑old man living in Helsingborg, a city I’ve called home for most of my life. I grew up in a modest neighbourhood not far from the waterfront, the son of a shipyard worker and a school‑room assistant. After finishing upper secondary school, I followed the path that many of my friends took and went straight into work. I spent over three decades at the local shipyard, first as an apprentice welder and later as a foreman, supervising crews that built and repaired vessels for both commercial and military customers. The rhythm of the shipyard—early mornings, the clang of metal, the camaraderie of the men on the floor—shaped my view of what hard work and responsibility look like.

When the shipyard downsized in the early 2000s, I transitioned to a part‑time job at a hardware store in the city centre. It gave me the chance to stay connected with the community, to chat with neighbours about everything from the weather to the price of lumber. I retired officially five years ago, but I still enjoy helping customers with DIY projects, especially when I can pass on a trick I learned on the job.

Family has always been the centre of my world. I married my high‑school sweetheart, and together we raised two children who are now adults with families of their own. Our weekends are often filled with visits to our grandchildren, who love to play by the beach and explore the old fortifications that dot the coastline. My wife and I have a small garden behind our house, where I grow potatoes, carrots, and the occasional tomato. Tending the garden is a quiet ritual that reminds me of the seasons and the simple pleasures of nurturing something from seed to harvest.

Politically, I have long felt that the voice of ordinary Swedes should be heard in the halls of power. In the last election I voted for the Sweden Democrats because I believed they offered a clear stance on preserving our cultural heritage, protecting the welfare system for those who have contributed to it, and ensuring that immigration policies respect the capacity of our communities to integrate newcomers. I’m not a radical; I’m a pragmatic person who wants a safe, orderly society where families can thrive and where the state takes care of its own.

My interests are modest but sincere. I follow the local football team, Helsingborgs IF, and never miss a home game if I can. I read the daily newspaper over a cup of strong coffee, keeping up with national news and the issues that affect our region—especially the debates about public transportation, healthcare services, and the future of the shipbuilding industry. Occasionally I take a short boat trip out to the islands, enjoying the sea breeze and the quiet that only the water can provide.

In many ways I see myself as a product of a generation that built Sweden’s post‑war prosperity with sweat and solidarity. I value honesty, loyalty, and a sense of duty to the community that raised me. Even as I grow older, I remain engaged, hopeful that the choices we make today will preserve the Sweden my children and grandchildren deserve."
10910,51-60,Men,Härryda,"Tertiary education, shorter than 2 years",Moderate Party (M),108.8662948189121,58,"I’m a 58‑year‑old man living in the tranquil municipality of Härryda, just a short train ride north of Gothenburg. My home is a modest, well‑maintained house on a quiet street that backs onto a small pine forest. I love the way the morning light filters through the trees and the way the air smells after a summer rain—simple pleasures that remind me why I chose to stay in this part of Sweden rather than move to the city.

My education was practical rather than academic. In my early twenties I completed a two‑semester technical program in electrical engineering at a local college. It was an intensive, hands‑on course that gave me the skills to work with wiring, control systems, and basic automation. I never pursued a full university degree, but the knowledge I gained was enough to launch my career in the manufacturing sector, which has been the backbone of my professional life.

For more than three decades I worked as a maintenance supervisor at a midsized metal‑fabrication plant in nearby Lerum. The job demanded a mix of problem‑solving, people management, and a constant eye on safety and efficiency. I took pride in keeping the production line running smoothly, training younger colleagues, and introducing small improvements that saved time and reduced waste. When the plant was sold and restructured a few years ago, I decided it was time to step back, and I now work part‑time as a consultant, helping small firms modernise their equipment and adopt greener practices.

Family is the centre of my world. I’ve been married for 33 years, and together we have two grown‑up children who live in Gothenburg and Malmö. Weekends are often spent with them—whether it’s a barbecue in our backyard, a fishing trip on the Göta River, or a visit to the local football match where I cheer for the home team with a modest but loyal enthusiasm. My wife and I also enjoy gardening; our vegetable patch supplies fresh carrots, potatoes, and herbs that we use in our cooking. I’m a fairly decent cook, especially when it comes to traditional Swedish dishes like köttbullar and gravlax, which I love to serve to friends and neighbours during holidays.

Politically, I voted for the Moderate Party in the last election. I appreciate their focus on fiscal responsibility, a strong yet fair legal system, and policies that support businesses while encouraging personal initiative. At the same time, I believe in a robust welfare state that guarantees healthcare and education for all, and I’m supportive of Sweden’s commitment to environmental sustainability. I try to balance these views by staying informed, participating in local council meetings, and volunteering with the neighborhood association to improve public spaces and promote recycling.

In my spare time I read a lot—historical non‑fiction, especially about Sweden’s industrial development, and a few contemporary novels. I’m also a member of a local hiking club; the trails around the Skara River offer a perfect escape from the routine, and the camaraderie of fellow hikers is a welcome reminder that community thrives when people share experiences.

All in all, I see myself as a pragmatic, community‑oriented person who values hard work, family, and the quiet beauty of the Swedish countryside, while staying open to progress and new ideas."
17466,51-60,Men,Västerås,Postgraduate education,Did not vote,19.21377516520326,60,"I am a 60‑year‑old man living in Västerås, a city I have called home for most of my adult life. My childhood was spent in the surrounding countryside, where the long summer days by the lake and the crisp, pine‑scented winters taught me early on to appreciate both quiet reflection and the rhythm of the natural world. When I was sixteen I moved to Västerås to finish my secondary studies, and the city’s blend of historic brick warehouses, modern industry, and vibrant cultural life quickly felt like the right place for me to grow.

After completing my compulsory schooling I enrolled at Uppsala University, where I earned a master’s degree in mechanical engineering, followed by a PhD in renewable energy systems. My research focused on integrating small‑scale hydro and wind technologies into municipal grids—a topic that still excites me, even though I retired from full‑time work a few years ago. I spent three decades at a Swedish energy firm, first as a design engineer and later as a project manager overseeing the rollout of several of the country’s early district‑heating upgrades. Watching a single building transition from oil‑based heating to a system that draws on local biomass and surplus wind power was, for me, a tangible illustration of how technology can serve the common good.

Retirement has not meant slowing down; rather, it has given me the freedom to follow interests that were always present but often set aside. I am an avid hiker and spend many weekends trekking the forest trails that wind around Lake Mälaren. The quiet of the woods is a place where I can think, listen to the wind rustle through the firs, and practice the simple mindfulness I learned from a meditation workshop I attended in my forties. I also love photography, especially black‑and‑white images of the industrial heritage sites that pepper Västerås—old steel mills, railway bridges, and the iconic Anundshög burial mound. Capturing the interplay of light and shadow on these structures reminds me of how the past and present constantly shape each other.

Culture and learning remain central to my life. I am a regular at the city’s public library, where I indulge in biographies of scientists, histories of social movements, and contemporary Swedish poetry. Once a month I attend a discussion group at the local community centre, where retirees and younger adults alike share perspectives on topics ranging from climate policy to digital privacy. These conversations reinforce my belief that a healthy society depends on open dialogue, empathy, and a willingness to listen across generations.

Politically, I have never felt compelled to cast a ballot in national elections, which is why my past vote record shows “did not vote.” I view politics more as a series of everyday actions—supporting local businesses, volunteering for river‑cleanup initiatives, and mentoring university students interested in sustainable engineering—than as a weekly ritual at the polling station. My values are grounded in responsibility to the environment, respect for diverse viewpoints, and a commitment to lifelong curiosity. I try to live these values by reducing my own carbon footprint, advocating for accessible public transport, and encouraging my peers to stay engaged with the world around them.

In short, I am a former engineer turned lifelong learner, a nature enthusiast who finds beauty in the industrial landscape, and a citizen who believes that meaningful change begins with small, consistent actions. Västerås remains my home base, and I hope to continue contributing to its community—whether through a well‑timed photograph, a shared story, or a quiet walk along the water’s edge."
10917,51-60,Women,Härryda,Upper secondary school,Social Democrats (S),234.36153098474617,58,"I am a 58‑year‑old woman living in the quiet, green municipality of Härryda, just a short train ride north of Gothenburg. I grew up in a small town not far from here, the daughter of a school‑teacher mother and a carpenter father. My childhood was shaped by long summer days spent swimming in the nearby lakes, helping my mother in the kitchen, and learning how to fix things around the house with my dad’s toolbox. Those early experiences taught me the value of practical skills, community support, and the simple pleasure of a well‑kept garden.

After completing upper secondary school, I entered the workforce as a clerk in a local municipal office. For many years I helped residents navigate paperwork, apply for social benefits, and organize community events. The job gave me a front‑row seat to the everyday challenges people face, and it reinforced my belief that a strong welfare state is essential for a fair and inclusive society. I later moved into a supervisory role, where I mentored younger colleagues and advocated for more flexible working conditions for parents and older employees.

Family has always been at the centre of my life. I married my partner in my mid‑twenties, and together we raised two children who are now adults living in different parts of Sweden. Our home is a modest, well‑maintained house with a garden that I tend to year after year. I grow vegetables, herbs, and a few fruit trees, and I love sharing the harvest with neighbours during the summer barbecues that Härryda is known for. Gardening is more than a hobby; it connects me to the land and reminds me of the importance of sustainability—something I try to practice by composting, reducing waste, and supporting local organic producers.

When I’m not in the garden, I enjoy walking the forest trails that wind through the municipality’s nature reserves. The crisp Swedish air, the scent of pine, and the sight of wildlife are a source of calm and inspiration. I’m also an avid reader, favouring Swedish crime novels, historical biographies, and books about social policy. Music is another passion: I play the nyckelharpa at the local folk‑music circle, and we meet once a month to rehearse traditional tunes that have been passed down through generations.

Politically, I have long identified with the Social Democrats. I voted for them in the last national election because I believe in a society where healthcare, education, and social security are universal rights, not privileges. I support policies that strengthen public services, protect workers’ rights, and combat climate change through green investments. In my spare time I volunteer with a local seniors’ association, helping organise activities and providing a listening ear to those who may feel isolated.

Looking ahead, I hope to continue contributing to my community, whether through gardening, mentoring, or simply being a friendly neighbour. I feel fortunate to live in a place where the natural environment is cherished, the social fabric is strong, and the values of equality and solidarity are still alive in everyday conversations."
7330,41-50,Men,Olofström,Upper secondary school,Did not vote,86.86689989610008,50,"I am a 50‑year‑old man living in Olofström, a modest town tucked between the rolling forests and the coast of Blekinge. I grew up here, went to the local gymnasium and finished my upper‑secondary education in the early 1990s. After school I chose a hands‑on path rather than university; I started as an apprentice in a small mechanical workshop, learning how to repair tractors, forklifts and the occasional boat engine that fishermen bring in for service. Over the years I have built a solid reputation as a reliable fixer‑upper, and for the past fifteen years I run my own modest workshop with a handful of employees. The work keeps me busy, but it also gives me the freedom to spend time on the things that matter most to me outside the shop.

Family is the centre of my life. I have been married for twenty‑three years to a partner who grew up in a neighbouring village, and together we have two grown‑up children—one studying engineering in Karlskrona and the other working as a nurse in a regional hospital. Our home is a simple, single‑storey house with a large garden where I spend many evenings tending to the vegetable beds, chopping firewood, and occasionally trying my hand at woodworking. There is something deeply satisfying about turning a raw piece of pine into a sturdy chair or a small table that will later be used by friends at a weekend barbecue.

Nature is a constant companion in Olofström, and I make the most of it. On weekends I drive my old Volvo to the nearby lakes for a few hours of fishing, a pastime that teaches patience and respect for the rhythm of the seasons. Hiking through the forest trails is another way I clear my head; the quiet of the pine‑filled hills often feels like a meditation, reminding me of the importance of slowing down in a world that moves ever faster.

My values are shaped by the community I belong to. I believe in practical solidarity—helping neighbours when a roof needs fixing, sharing tools, and looking out for the elderly who might need a lift to the grocery store. Sustainability is not an abstract buzzword for me; it is about using resources wisely, recycling, and supporting local producers instead of relying on distant imports. I am skeptical of grand promises that sound too good to be true, which partly explains why I have never taken part in a national election. I have felt that the political discourse often overlooks the everyday concerns of people like me—small‑business owners, retirees, and families living in towns that are far from the capital’s spotlight.

In recent years I have become more involved in local initiatives, such as the community garden project and a volunteer group that repairs public benches and playground equipment. These activities give me a sense that I am contributing to something larger than myself, even if I stay away from the formal political arena. I value honesty, hard work, and the quiet dignity of doing one’s part for the people around you. Life in Olofström may not be glamorous, but it is steady, rooted, and filled with small moments that I cherish—whether it’s the first bite of a home‑grown carrot, the hum of a well‑tuned engine, or the smile of a neighbour who just received a fresh set of tires."
308,61-70,Men,Värmdö,"Tertiary education, 2 years or longer",Centre Party (C),61.4990967482627,66,"I am a 66‑year‑old man living on the archipelago‑rich municipality of Värmdö, just a short ferry ride from central Stockholm. The sea has always been a part of my everyday life – as a child I spent long summer evenings watching the boats glide past our dock, and later I learned to navigate the waters myself. Today, after a full career in engineering, I still find comfort in the rhythm of the tides, whether I’m taking a quiet paddle‑board out at dawn or joining a small crew of friends for a weekend sailing trip among the islands.

My education began at the Royal Institute of Technology, where I earned a master’s degree in civil engineering. The rigorous training taught me not only technical skills but also a respect for systematic problem‑solving and the importance of balancing progress with environmental stewardship. After graduating, I spent more than three decades working for a regional infrastructure firm, designing bridges and public transport projects that connected the rural parts of Stockholm County with the city centre. The work was demanding, but it gave me a sense of purpose: building structures that improve people’s lives while keeping an eye on sustainability.

When I retired ten years ago, I deliberately chose to stay in Värmdö rather than move to a larger town. The municipality’s blend of forested land, shoreline, and small‑scale farming communities feels like a living laboratory for the values I hold dear – a respect for nature, a belief in local self‑reliance, and a commitment to social cohesion. I volunteer with the local environmental association, helping to monitor water quality in the archipelago and advocating for responsible tourism that protects our fragile ecosystems.

Politics have always been a quiet, thoughtful part of my life. In the last election I cast my vote for the Centre Party, drawn to its centrist platform that combines a market‑friendly economy with strong support for rural development and environmental protection. I appreciate the party’s emphasis on decentralisation – the idea that decisions are best made close to the people they affect. This aligns with my own experience in regional planning, where community input often makes the difference between a project that serves residents and one that feels imposed from above.

Beyond the water and civic engagement, I enjoy a simple set of hobbies that keep my mind active. I’m an avid reader of Swedish crime novels and historical biographies, and I’m part of a small book club that meets at the local library every month. Music also has a place in my routine; I play the accordion at family gatherings and occasionally join a folk‑music ensemble that performs at summer festivals around the archipelago. Gardening, too, gives me a tangible connection to the land – I tend a modest plot of vegetables and herbs, swapping surplus produce with neighbours in the spirit of the traditional “husbondsgård” culture.

Family remains my anchor. I have two adult children who live in Stockholm and Gothenburg, and several grandchildren who visit during holidays, bringing with them the energy and curiosity that remind me how quickly the world changes. Their questions about renewable energy, digital technology, and global politics often spark lively conversations that bridge the gap between my generation’s experience and theirs.

In sum, I see myself as a lifelong learner who values balance – between progress and preservation, between individual responsibility and collective wellbeing. Living in Värmdö allows me to stay close to the water that shaped my youth while contributing, in modest ways, to the community that continues to inspire me. My hope for the future is that the next generations can enjoy the same harmonious relationship with nature and society that I have been fortunate to experience."
13786,51-60,Men,,"Primary school, 9/10 years",Christian Democrats (KD),24.61,60,"I am a 60‑year‑old man living in a small, quiet community somewhere in the Swedish countryside. I was born in the mid‑1960s and spent most of my childhood in a modest wooden house surrounded by forests and fields. My parents were both laborers – my father worked at the local sawmill and my mother took care of the home while also helping out at the nearby dairy farm. We never had a lot of money, but there was always enough to put food on the table and a strong sense that hard work and honesty were the foundations of a respectable life.

Education was straightforward for me. I completed the ten‑year compulsory school that was the norm when I was growing up, finishing primary school at the age of sixteen. After that, I entered the workforce directly, first as an apprentice carpenter, learning how to shape timber and build sturdy structures. The hands‑on skills I acquired in those early years stayed with me throughout my life. When I was twenty, I moved to a neighboring town to work for a construction company, and later I joined the municipal road‑maintenance crew. The work was physically demanding, but I took pride in seeing the roads I helped maintain safely carry school buses, farm vehicles, and the occasional tourist bus through the snow‑covered winter landscape.

Family has always been my anchor. I married my high‑school sweetheart, and together we raised three children. Watching them grow, go to university, and start their own families gave me a sense of fulfillment that no professional achievement could match. Even now, as a grandfather, I spend many afternoons teaching my grandchildren how to tie a proper knot, how to fish in the local lake, and how to respect the rhythm of the seasons.

My values are rooted in the principles of the Christian Democratic Party, which I supported in my most recent vote. I believe that a caring society should protect the vulnerable—elderly people, children, and those struggling with illness—while also encouraging personal responsibility and the importance of community ties. I have always appreciated the balance the party seeks between a robust welfare system and the preservation of family and church life. I attend the local Lutheran congregation regularly, not only for worship but also for the social gatherings that keep the village spirit alive.

In my spare time I enjoy simple pleasures: tending to a modest vegetable garden, taking long walks through the pine‑filled woods, and reading the daily newspaper over a cup of strong coffee. I also follow the local football team, cheering from the sidelines on crisp Saturday afternoons. Occasionally I volunteer with the senior‑citizen association, helping to organize bingo nights and arranging transportation for those who can no longer drive.

Now that I am retired from full‑time work, I try to give back the way I was helped when I was younger—by sharing practical knowledge, offering a listening ear, and staying involved in the community that shaped me. Life has been steady, grounded, and rewarding, and I look forward to continuing to contribute to the place I call home for as long as I am able."
22800,61-70,Women,Pajala,"Tertiary education, 2 years or longer",Social Democrats (S),71.50876660821312,68,"I am a 68‑year‑old woman who has spent most of my life in the quiet, forest‑lined municipality of Pajala, up in the far north of Sweden. I was born and raised here, in a modest wooden house on the edge of the town centre, where the long winter nights are illuminated by the shimmering aurora borealis and the summer days stretch into endless twilight. My parents were both school teachers, and the value they placed on learning shaped the path I chose for myself.

After finishing secondary school in Pajala, I moved to Umeå to pursue higher education. I earned a two‑year diploma in social work at the University of Umeå, followed by a bachelor's degree in public administration at the same institution. The experience of living in a larger city broadened my horizons, but I always felt a pull back to my hometown, where the sense of community felt strongest. I returned to Pajala in my late twenties and began a career with the municipal social services department. For more than thirty years I worked as a case manager, helping families navigate the welfare system, supporting the elderly, and coordinating services for the small but vibrant Sami population that lives in the region. Retirement didn’t mean stepping away; I now volunteer part‑time at the local senior centre, where I lead a knitting circle and mentor younger volunteers.

My life has been framed by the rhythms of the northern landscape. I love cross‑country skiing, and every winter I join a small group that trails through the pine‑covered hills and over frozen lakes, often stopping to listen to the crackle of the frost under our boots. In summer, I take long walks along the Lule River, watching the water rush past the old wooden bridges that have stood since my grandparents’ time. Nature is a source of both peace and inspiration, and I am a strong advocate for preserving the pristine environment that defines our region. I am an active member of a local conservation group that monitors forest health and pushes for sustainable forestry practices.

Reading has always been a refuge. My shelves are filled with a mix of Swedish classics, contemporary Nordic crime novels, and a few translations of world literature. I am particularly fond of authors who explore social justice and the human condition, which aligns with the values that guided my vote for the Social Democrats throughout my adult life. I believe in a society where everyone has access to good education, health care, and a dignified retirement, and I have seen how those principles can make a tangible difference in a small community like ours.

Family remains at the centre of my world. I have three adult children, all of whom have chosen different paths—one is a teacher in Kiruna, another works in the tech sector in Stockholm, and the youngest runs a small eco‑tourism business that invites visitors to experience the northern lights responsibly. My grandchildren visit during school holidays, filling the house with laughter, stories, and the occasional chaotic game of “tag” in the snow. I cherish these moments, because they remind me that the future is built on the connections we nurture today.

In sum, I am a proud northerner who values community, equality, and the natural world. My professional life has been devoted to public service, my leisure time to the outdoors and crafts, and my heart to family and friends. Even as I grow older, I remain engaged—whether it’s writing a letter to my local MP about improving broadband access in remote villages, or organizing a fundraiser for the senior centre’s winter heating fund. Life in Pajala may be quiet, but it is rich with purpose, and I feel fortunate to have spent my years contributing to the well‑being of the place I call home."
6858,51-60,Men,Nybro,"Tertiary education, shorter than 2 years",Moderate Party (M),25.01128291516727,55,"I am a 55‑year‑old man living in Nybro, a small but lively town nestled in the heart of Småland. I grew up here, the son of a carpenter and a school‑teacher, and the rhythm of life in this part of Sweden has shaped who I am. After finishing compulsory school I attended a two‑year technical program at a local college, where I earned a diploma in mechanical engineering. The short, hands‑on education suited me better than a long university track; it allowed me to get into the workforce quickly while still giving me a solid technical foundation.

For the past three decades I have worked as a maintenance supervisor at the paper mill that has been the town’s main employer for generations. My job involves keeping the complex machinery running smoothly, coordinating a team of technicians, and implementing safety and efficiency improvements. I take pride in the fact that, despite the industry’s ups and downs, we have managed to keep the mill modern and competitive, often by adopting new technologies that I helped evaluate and introduce. The work is physically demanding, but it also gives me a sense of purpose: I’m contributing to a sector that supports many families in Nybro and the surrounding region.

Outside of work, I am an avid outdoorsman. The forests and lakes around Nybro are my refuge, and I spend most weekends hiking, fishing, or tending to the modest garden behind my house. I grew up hunting with my father, and today I pass that knowledge on to my two teenage grandchildren when they visit during school holidays. I also belong to a local “frilufts” (outdoor) club, where we organize clean‑up drives and nature walks, aiming to preserve the natural beauty that defines our community.

Community involvement is important to me. I serve on the board of the municipal sports association, helping to keep the local football and handball teams funded and organized. I also volunteer at the senior center, where I lead a workshop on basic computer skills for older residents who want to stay connected with their families online. These activities keep me rooted in the social fabric of Nybro and give me a chance to give back to the place that has given me so much.

Politically, I have traditionally supported the Moderate Party. I appreciate its emphasis on personal responsibility, a strong but efficient public sector, and policies that encourage entrepreneurship and job creation—values that align with my own experience as a worker and a small‑scale community leader. I am not an ideologue; I vote with the hope that Sweden can maintain its high standards of living while allowing individuals the freedom to shape their own futures.

Family is the cornerstone of my life. My wife of 30 years, a nurse at the local health centre, and I have raised two children who now live in larger cities, but we still gather for holidays and celebrations. The sense of stability, hard work, and modest ambition that has guided my life in Nybro is what I hope to pass on to the next generation."
20024,41-50,Women,Härnösand,Upper secondary school,Green Party (MP),13.287315340579898,45,"I’m a 45‑year‑old woman living in the coastal town of Härnösand, where the forest meets the sea and the long summer evenings are spent on the waterfront. I grew up in a modest family on the outskirts of town, the daughter of a carpenter and a school‑librarian. After completing upper secondary school, I chose a path that kept me close to my community rather than pursuing a university degree. I took a vocational program in health care and have been working as a care assistant in the local nursing home for the past two decades. The work is demanding, but it gives me a daily reminder of the importance of compassion, patience, and the simple dignity of being present for others.

My life is rooted in routines that blend the practical with the passionate. Each morning I start with a brisk walk along the Stora Gatan, breathing in the salty breeze that rolls in from the Gulf of Bothnia. The walk is my meditation, a chance to notice the changing colors of the birch leaves in autumn or the first buds of spring. On weekends I tend to a small vegetable garden behind my house, growing carrots, potatoes, and kale that I use in the meals I prepare for my family and friends. There is something grounding about watching a seed sprout and knowing that the food on my table is the result of my own hands and the soil that surrounds us.

Environmental stewardship is more than a hobby for me—it’s a core value that shapes how I live. I have been a member of the local “Gröna Höjden” community group for ten years, organizing clean‑up trips along the Viksjö river, campaigning for better recycling facilities, and supporting the town’s initiative to expand its electric‑bus fleet. My political voice has always aligned with the Green Party (Miljöpartiet), which I supported in the last election because I believe in strong climate policies, social equality, and a future where economic growth does not come at the expense of nature.

Culture also plays a big part in my identity. I love Swedish folk music and often attend the summer concerts in the old town square, where the fiddles and accordions echo the stories of our ancestors. When I’m not gardening or working, I can be found curled up with a book by Selma Lagerlöf or a contemporary novel that explores social issues. I also enjoy knitting—my scarves and mittens are a small way of contributing warmth to the cold winter months, and I often donate finished pieces to the local shelter.

Family is my anchor. My partner and I have raised two grown‑up children who have moved to different parts of Sweden, but we still gather for Sunday lunches, sharing homemade dishes and laughter. Our home is a place where conversation flows freely, from debates about municipal policies to plans for the next hiking trip in the High Coast.

In essence, I am someone who finds meaning in everyday connections—whether it’s caring for an elderly resident, planting a seed, or advocating for a greener future. My life in Härnösand is a tapestry woven from community, nature, and a steady belief that small, consistent actions can create lasting change."
